ensemble accel;FR_A0300 (Throttle)
cercle cable accel.;FR_03001 (Throttle cable hole)
pedale accel;FR_03002 (Throttle pedal)
biellette;FR_03003 (Rod)
cale pied superieur accel;FR_03004 (Upper footrest throttle pedal)
cale pied inferieur accel;FR_03005 (Lower footrest throttle pedal)
Part11;FR_03006 (Chassis throttle pedal)
regle raque;FR_03007 (adjustement rack);(aussi utilisée pour frein)
ensemble frein;FR_A0400 (Brake)
pedale frein;FR_04001 (Brake pedal)
chassis pedale frein;FR_04002 (Chassis brake pedal)
maitre cylindre;FR_04003 (Brake cylinder)
