OptimumG Tutorial Tire Data,,,,,,,
i,SA,SR,IA,Fy,Fz,MZ,V
,deg,-,deg,N,N,Nm,m/s
1,0,0.024,0.04,-58.98702,-4262.775,2.39127,0.111
2,0,0.033,0.033,-55.861596,-4256.948,2.05542,0.111
3,0.00158,0.016,0.04,-59.03994,-4266.155,0.69194,0.107
4,0,0.025,0.039,-61.216632,-4267.045,2.67387,0.107
5,0,0.016,0.039,-59.02428,-4276.297,0.82534,0.102
6,0,0.041,0.038,-56.941632,-4270.426,1.38282,0.111
7,0,0.022,0.038,-59.071608,-4276.698,2.40312,0.12
8,-0.00158,0.015,0.038,-58.924008,-4283.281,0.53572,0.116
9,0.00158,0.023,0.038,-59.086656,-4274.651,1.98588,0.116
10,-0.00158,0.015,0.04,-55.9683,-4269.937,2.02464,0.12
11,0.00079,0.028,0.038,-59.95476,-4281.769,0.927,0.125
12,0.00158,0.006,0.038,-61.10784,-4282.659,2.7654,0.125
13,0,0.027,0.04,-61.12368,-4282.925,0.7728,0.129
14,0,0.02,0.039,-63.364584,-4293.022,1.50332,0.134
15,-0.00158,0.02,0.036,-60.073446,-4289.642,2.45558,0.134
16,0.00395,0.014,0.039,-56.813814,-4291.021,0.44781,0.125
17,0,0.022,0.036,-60.089376,-4285.55,2.08742,0.12
18,-0.00158,0.014,0.038,-59.070912,-4304.232,1.58804,0.125
19,0,0.014,0.033,-58.00662,-4308.102,0.8037,0.129
20,0,0.02,0.038,-59.147532,-4302.008,2.93664,0.138
21,-0.00158,0.027,0.036,-57.900594,-4306.012,1.20773,0.129
22,0,0.03,0.036,-59.132484,-4294.313,1.41417,0.111
23,-0.00158,0.015,0.039,-59.065608,-4303.743,2.6314,0.111
24,-0.00158,0.037,0.039,-60.104952,-4312.461,0.66375,0.098
25,-0.00158,0.018,0.039,-58.097934,-4318.645,2.29482,0.102
26,0.00079,0.032,0.036,-57.77676,-4305.878,1.6428,0.111
27,0.00158,0.022,0.04,-56.70396,-4312.995,0.6666,0.12
28,0.00158,0.034,0.038,-61.253568,-4321.803,2.33508,0.129
29,0,0.014,0.042,-58.080156,-4314.107,0.66816,0.125
30,-0.00237,0.029,0.038,-58.033524,-4307.079,1.18726,0.125
31,0.00079,0.02,0.042,-59.163828,-4315.976,2.50038,0.129
32,-0.00158,0.027,0.042,-57.84084,-4323.182,0.2844,0.134
33,-0.00158,0.02,0.039,-59.117196,-4323.003,2.05204,0.138
34,0,0.014,0.035,-60.089376,-4322.47,1.61542,0.125
35,0,0.014,0.04,-55.77447,-4326.34,0.67968,0.125
36,-0.00158,0.028,0.038,-59.034102,-4322.336,2.5193,0.125
37,0,0.014,0.042,-57.063384,-4319.356,0.9348,0.129
38,0.00079,0.027,0.038,-59.132484,-4325.717,1.16679,0.134
39,0,0.006,0.036,-57.91617,-4312.194,2.30336,0.134
40,0.00079,0.022,0.042,-57.825,-4322.648,0.1866,0.12
41,-0.00158,0.02,0.039,-58.113324,-4316.554,2.10957,0.129
42,0.00158,0.022,0.036,-58.914,-4310.815,1.293,0.12
43,-0.00237,0.014,0.039,-56.965512,-4316.732,0.73892,0.125
44,0,0.02,0.038,-61.238814,-4309.57,2.48744,0.129
45,-0.00158,0.014,0.036,-57.91617,-4307.124,0.53572,0.129
46,0.00158,0.022,0.04,-55.928472,-4313.44,1.53294,0.12
47,0,0.032,0.04,-58.095468,-4310.682,2.20922,0.111
48,-0.00158,0.033,0.033,-58.86576,-4307.124,0.7158,0.107
49,-0.00158,0.025,0.036,-59.050032,-4311.305,2.34348,0.107
50,0.00079,0.015,0.039,-56.996484,-4308.191,1.29746,0.12
51,0,0.014,0.038,-55.983348,-4307.702,0.56373,0.129
52,0,0.02,0.04,-59.097114,-4310.682,2.36767,0.134
53,0.00158,0.02,0.038,-55.983348,-4304.543,0.54093,0.134
54,0,0.02,0.042,-55.928472,-4316.687,0.92742,0.129
55,0.00316,0.02,0.04,-57.87288,-4310.727,2.0658,0.129
56,0.00158,0.029,0.04,-56.892756,-4310.949,0.58351,0.125
57,0,0.022,0.038,-55.998738,-4313.885,2.1945,0.12
58,0.00158,0.015,0.036,-60.136458,-4308.191,1.24785,0.12
59,-0.00474,0.015,0.038,-6.849546,-404.654,-0.92748,0.116
60,-0.00158,0.025,0.036,-9.15948,-410.837,0.7728,0.107
61,0,0.032,0.042,-9.211788,-411.46,0.61537,0.116
62,-0.00474,0.015,0.038,-6.617358,-411.015,-0.55632,0.116
63,0.00158,0.023,0.039,-8.79282,-426.184,1.5219,0.12
64,-0.00395,0.022,0.036,-7.90482,-417.954,-0.14396,0.125
65,0,0.023,0.033,-8.896728,-414.707,0.23187,0.116
66,-0.00158,0.023,0.036,-8.716896,-415.108,1.51449,0.12
67,0,0.015,0.04,-5.674122,-418.577,-0.78774,0.111
68,0,0.029,0.042,-10.52064,-416.842,0.9108,0.093
69,0,0.019,0.038,-6.632748,-424.805,0.38589,0.093
70,0,0.028,0.042,-7.007076,-424.938,-0.55165,0.098
71,0,0.025,0.036,-10.29672,-428.452,1.5942,0.111
72,-0.00158,0.03,0.039,-4.594086,-417.02,-0.49419,0.116
73,0,0.009,0.04,-8.869086,-423.381,0.01539,0.107
74,0.00079,0.018,0.038,-8.777772,-429.03,1.55325,0.102
75,0,0.039,0.042,-7.023006,-426.095,-0.62363,0.089
76,-0.00158,0.02,0.033,-7.575984,-426.451,0.91143,0.093
77,0.00079,0.028,0.042,-5.952156,-426.495,0.41595,0.098
78,0.00079,0.028,0.035,-6.671508,-423.426,-0.50286,0.098
79,-0.00158,0.029,0.038,-40.262904,-2588.553,1.96562,0.125
80,0.00079,0.02,0.04,-37.499616,-2585.617,-0.09234,0.129
81,0,0.02,0.038,-41.63508,-2591.311,1.212,0.129
82,-0.00158,0.014,0.043,-38.894334,-2588.064,1.62368,0.129
83,0,0.015,0.039,-35.974848,-2588.775,0.04698,0.125
84,0,0.029,0.036,-41.299944,-2585.395,1.73768,0.12
85,-0.00158,0.023,0.036,-36.358704,-2589.265,1.03512,0.116
86,0.00158,0.014,0.038,-38.48868,-2591.4,0.27816,0.125
87,0.00079,0.022,0.038,-39.194544,-2589.131,1.96562,0.125
88,0,0.015,0.036,-40.46616,-2591.4,0.0564,0.12
89,0.00158,0.038,0.043,-40.402104,-2589.799,1.31312,0.12
90,-0.00158,0.029,0.036,-39.4092,-2596.782,1.236,0.125
91,-0.00158,0.022,0.036,-38.049276,-2602.209,-0.36946,0.125
92,0,0.029,0.045,-40.70628,-2603.099,1.6188,0.12
93,0.00079,0.029,0.04,-38.815392,-2605.323,0.55165,0.125
94,-0.00158,0.014,0.035,-39.36132,-2600.074,0.1464,0.129
95,0,0.027,0.035,-39.522888,-2599.852,1.90836,0.134
96,0,0.014,0.039,-39.886242,-2603.321,-0.11977,0.129
97,-0.00158,0.028,0.033,-39.132948,-2595.225,1.39954,0.129
