roll;camber;kingpin;spindle length;scrub radius;castor;mechanical trail;spring travel;ARB travel;toe (SAE);anti-dive;RCy;RCz
2.5;-0.862;10.0586;67.5932;-0.1757;4.096;38.9686;13.6354;0;0;0;383.4325;36.6744
2;-0.6697;9.8663;67.5534;-0.1104;4.0936;38.9757;10.881;0;0;0;318.738;37.8504
1.5;-0.4871;9.6838;67.5163;-0.0609;4.0914;38.9825;8.1595;0;0;0;246.4822;38.8629
1;-0.3145;9.5111;67.4819;-0.0264;4.0893;38.989;5.4476;0;0;0;168.0265;39.643
0.5;-0.152;9.3487;67.4502;-0.0063;4.0874;38.995;2.7309;0;0;0;85.1603;40.1352
0;0;9.1967;67.421;0;4.0856;39.0006;0;0;0;0;0;40.3034
-0.5;0.1413;9.0554;67.3942;-0.0066;4.084;39.0059;-2.7515;0;0;0;-85.1603;40.1352
-1;0.2715;8.9252;67.37;-0.0255;4.0825;39.0107;-5.5281;0;0;0;-168.0265;39.643
-1.5;0.3904;8.8063;67.3482;-0.0558;4.0812;39.0151;-8.3325;0;0;0;-246.4822;38.8629
-2;0.4976;8.6991;67.3288;-0.0966;4.0801;39.0191;-11.1667;0;0;0;-318.738;37.8504
-2.5;0.5928;8.6039;67.3118;-0.1472;4.079;39.0226;-14.0317;0;0;0;-383.4325;36.6744
