roll;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;scrub;mechanical trail;RCy;RCz
3;-3.7364;-0.0805;0.7599;9.6127;27.3113;1.6613;-0.1339;11.5869;162.1388;56.3351
2.5;-3.4147;-0.0568;0.7592;9.2907;22.8598;1.3918;-0.0912;11.5572;137.7879;56.4079
2;-3.1028;-0.0372;0.7586;8.9785;18.3817;1.1253;-0.0571;11.5339;112.0282;56.4802
1.5;-2.8009;-0.0218;0.7579;8.6764;13.8642;0.8609;-0.0313;11.5164;85.0935;56.5447
1;-2.509;-0.0104;0.7574;8.3843;9.2985;0.598;-0.0135;11.5046;57.2483;56.5954
0.5;-2.2272;-0.0032;0.7568;8.1025;4.6784;0.3358;-0.0032;11.4981;28.7817;56.6276
0;-1.9557;0;0.7563;7.8309;0;0.0736;0;11.4966;0;56.6387
-0.5;-1.6945;-0.0009;0.7559;7.5697;-4.7388;-0.1892;-0.0035;11.4999;-28.7817;56.6276
-1;-1.4439;-0.0059;0.7554;7.3192;-9.5378;-0.4532;-0.0134;11.5079;-57.2483;56.5954
-1.5;-1.2039;-0.0151;0.755;7.0793;-14.3945;-0.7192;-0.029;11.5203;-85.0935;56.5447
-2;-0.9747;-0.0284;0.7547;6.8502;-19.3028;-0.9877;-0.05;11.5369;-112.0282;56.4802
-2.5;-0.7564;-0.0459;0.7543;6.6323;-24.2528;-1.2593;-0.0759;11.5578;-137.7879;56.4079
-3;-0.5494;-0.0677;0.754;6.4255;-29.2283;-1.5346;-0.1063;11.5828;-162.1388;56.3351
