roll;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;scrub;mechanical trail;RCy;RCz
2.5;-2.3906;0.3537;0.758;6.5783;16.6139;-6.5565;0.4037;11.2153;62.0664;89.865
2;-2.147;0.2605;0.7576;6.3359;13.3307;-5.8053;0.2927;11.3285;49.7001;90.0005
1.5;-1.9061;0.1785;0.7573;6.096;10.0264;-5.0572;0.1975;11.4258;37.3024;90.1061
1;-1.6679;0.1078;0.7569;5.8588;6.7024;-4.3117;0.1174;11.508;24.8813;90.1818
0.5;-1.4325;0.0483;0.7566;5.6242;3.36;-3.5685;0.0518;11.5758;12.4445;90.2272
0;-1.2;0;0.7563;5.3923;0;-2.8271;0;11.6296;0;90.2424
-0.5;-0.9704;-0.0371;0.756;5.1631;-3.3772;-2.0873;-0.0386;11.6702;-12.4445;90.2272
-1;-0.7437;-0.063;0.7558;4.9369;-6.7727;-1.3486;-0.0645;11.6981;-24.8813;90.1818
-1.5;-0.5202;-0.0778;0.7555;4.7135;-10.19;-0.6107;-0.0783;11.714;-37.3024;90.1061
-2;-0.2997;-0.0814;0.7553;4.493;-13.6389;0.1268;-0.0807;11.7183;-49.7001;90.0005
-2.5;-0.0823;-0.0739;0.7551;4.2756;-17.1457;0.8641;-0.0721;11.7116;-62.0664;89.865
