bump;camber;kingpin;spindle length;scrub radius;castor;mechanical trail;spring travel;ARB travel;toe (SAE);anti-dive;RCy;RCz
30;0.4022;4.7637;-6.4556;2.0249;0.7558;10.8271;-17.9547;0;0.8524;13.1142;0;-94.2272
25;0.3417;4.8263;-5.2414;1.8088;0.7559;10.986;-15.0269;0;0.681;11.9308;0;-92.5741
20;0.2786;4.8913;-4.0831;1.5445;0.756;11.1346;-12.0652;0;0.5217;10.8203;0;-90.9384
15;0.213;4.9588;-2.9802;1.2316;0.7561;11.2732;-9.0767;0;0.3741;9.7761;0;-89.3192
10;0.1446;5.0289;-1.9324;0.8701;0.7561;11.402;-6.0668;0;0.2381;8.7923;0;-87.7152
5;0.0737;5.1014;-0.9391;0.4596;0.7562;11.521;-3.04;0;0.1135;7.8638;0;-86.1256
0;0;5.1766;0;0;0.7563;11.6303;0;0;0;6.9856;0;-84.5494
-5;-0.0764;5.2543;0.8853;-0.509;0.7564;11.7301;3.0502;0;-0.1025;6.1535;0;-82.9856
-10;-0.1555;5.3347;1.7171;-1.0677;0.7565;11.8203;6.108;0;-0.1942;5.3632;0;-81.4333
-15;-0.2375;5.4178;2.4958;-1.6763;0.7566;11.901;9.1711;0;-0.2752;4.6113;0;-79.8918
-20;-0.3223;5.5035;3.2217;-2.3352;0.7567;11.9721;12.2375;0;-0.3457;3.8943;0;-78.3603
-25;-0.4099;5.592;3.8949;-3.0447;0.7568;12.0337;15.3055;0;-0.4056;3.2091;0;-76.8378
-30;-0.5006;5.6834;4.5159;-3.8051;0.757;12.0855;18.3735;0;-0.4551;2.5527;0;-75.3238
