roll;camber;kingpin;spindle length;scrub radius;castor;mechanical trail;spring travel;ARB travel;toe (SAE);anti-dive;RCy;RCz
2.5;-1.7086;6.8566;14.8159;0.6536;0.7561;10.9549;22.1884;0;0.8732;-5.1199;47.8633;86.3617
2;-1.3588;6.5092;14.7686;0.4894;0.7555;11.1204;17.6575;0;0.6767;-4.8261;38.3164;86.3931
1.5;-1.013;6.1656;14.7231;0.343;0.755;11.268;13.1649;0;0.4912;-4.5373;28.7522;86.4179
1;-0.6712;5.826;14.6796;0.2133;0.7546;11.3989;8.7184;0;0.3167;-4.2533;19.1752;86.4358
0.5;-0.3335;5.4904;14.6383;0.0993;0.7541;11.5141;4.3268;0;0.153;-3.9737;9.5897;86.4466
0;0;5.1589;14.5993;0;0.7537;11.6145;0;0;0;-3.6981;0;86.4502
-0.5;0.3293;4.8315;14.5627;-0.0856;0.7533;11.7013;-4.2505;0;-0.1424;-3.4263;-9.5897;86.4466
-1;0.6544;4.5082;14.5286;-0.1585;0.753;11.7752;-8.4115;0;-0.2742;-3.158;-19.1752;86.4358
-1.5;0.9751;4.1891;14.4971;-0.2194;0.7527;11.8373;-12.4676;0;-0.3956;-2.8929;-28.7522;86.4179
-2;1.2915;3.8743;14.4682;-0.2695;0.7524;11.8884;-16.4006;0;-0.5065;-2.6305;-38.3164;86.3931
-2.5;1.6034;3.5637;14.4419;-0.3093;0.7521;11.9293;-20.1891;0;-0.6071;-2.3708;-47.8633;86.3617
