bump;camber;kingpin;spindle length;scrub radius;castor;mechanical trail;spring travel;ARB travel;toe (SAE);anti-dive;RCy;RCz
30;-2.211;11.4077;67.8956;-0.4179;4.1143;38.9179;-16.1464;0;0;0;0;33.3037
25;-1.8152;11.0119;67.8027;-0.2209;4.1087;38.9328;-13.3854;0;0;0;0;34.2445
20;-1.4308;10.6274;67.7158;-0.0739;4.1034;38.9473;-10.654;0;0;0;0;35.2803
15;-1.0574;10.254;67.6345;0.0224;4.0985;38.9613;-7.9514;0;0;0;0;36.4073
10;-0.6947;9.8913;67.5585;0.0673;4.0939;38.9748;-5.2763;0;0;0;0;37.6223
5;-0.3423;9.539;67.4874;0.0601;4.0896;38.9879;-2.6269;0;0;0;0;38.922
0;0;9.1967;67.421;0;4.0856;39.0006;0;0;0;0;0;40.3034
-5;0.3326;8.8641;67.3588;-0.1136;4.0819;39.013;2.6085;0;0;0;0;41.7638
-10;0.6557;8.541;67.3007;-0.2814;4.0784;39.0249;5.2043;0;0;0;0;43.3006
-15;0.9696;8.2271;67.2463;-0.5041;4.0751;39.0365;7.7959;0;0;0;0;44.9114
-20;1.2746;7.9221;67.1956;-0.7823;4.072;39.0477;10.3955;0;0;0;0;46.5942
-25;1.5709;7.6258;67.1482;-1.1167;4.0691;39.0586;13.0223;0;0;0;0;48.347
-30;1.8587;7.3379;67.1039;-1.508;4.0665;39.0691;15.7087;0;0;0;0;50.1681
