bump;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;scrub
30;-3.3989;-0.0561;0.7592;9.2749;-26.6948;-1.5843;-0.0085
25;-3.1355;-0.038;0.7586;9.0113;-22.1486;-1.2706;0.1037
20;-2.8815;-0.0234;0.7581;8.757;-17.6312;-0.9739;0.172
15;-2.6366;-0.0124;0.7576;8.512;-13.1527;-0.6926;0.1961
10;-2.4008;-0.0048;0.7572;8.2761;-8.7194;-0.4252;0.1757
5;-2.1739;-0.0007;0.7567;8.0491;-4.3347;-0.1702;0.1105
0;-1.9557;0;0.7563;7.8309;0;0.0736;0
-5;-1.7461;-0.0027;0.7559;7.6214;4.285;0.3075;-0.1561
-10;-1.5451;-0.0089;0.7556;7.4205;8.5221;0.5327;-0.3581
-15;-1.3526;-0.0185;0.7553;7.228;12.7146;0.7501;-0.6065
-20;-1.1683;-0.0316;0.755;7.044;16.8671;0.9609;-0.9015
-25;-0.9924;-0.0481;0.7547;6.8682;20.9863;1.1659;-1.2435
-30;-0.8246;-0.0681;0.7544;6.7007;25.0808;1.3661;-1.633
