roll;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;RC_y;RC_z;;;
3.0000;-3.7372;-0.0193;0.7599;9.6126;28.9014;0.3040;143.8802;56.6115;;;
2.7500;-3.5749;-0.0170;0.7596;9.4504;26.5297;0.2861;133.3262;56.6076;;;
2.5000;-3.4152;-0.0149;0.7592;9.2906;24.1591;0.2687;122.4158;56.6075;;;
2.2500;-3.2579;-0.0128;0.7589;9.1333;21.7862;0.2520;111.1735;56.6103;;;
2.0000;-3.1031;-0.0109;0.7586;8.9785;19.4083;0.2357;99.6257;56.6152;;;
1.7500;-2.9508;-0.0092;0.7582;8.8262;17.0229;0.2199;87.8009;56.6214;;;
1.5000;-2.8011;-0.0075;0.7579;8.6764;14.6284;0.2046;75.7294;56.6283;;;
1.2500;-2.6538;-0.0060;0.7576;8.5291;12.2233;0.1896;63.4431;56.6352;;;
1.0000;-2.5091;-0.0046;0.7574;8.3843;9.8061;0.1749;50.9755;56.6416;;;
0.7500;-2.3669;-0.0033;0.7571;8.2421;7.3759;0.1605;38.3613;56.6470;;;
0.5000;-2.2272;-0.0021;0.7568;8.1025;4.9320;0.1463;25.6362;56.6511;;;
0.2500;-2.0902;-0.0010;0.7566;7.9654;2.4735;0.1324;12.8368;56.6537;;;
0.0000;-1.9557;0.0000;0.7563;7.8309;0.0000;0.1186;0.0000;56.6546;;;
-0.2500;-1.8238;0.0009;0.7561;7.6990;-2.4888;0.1048;-12.8368;56.6537;;;
-0.5000;-1.6945;0.0016;0.7559;7.5697;-4.9930;0.0912;-25.6362;56.6511;;;
-0.7500;-1.5679;0.0023;0.7556;7.4431;-7.5127;0.0775;-38.3613;56.6470;;;
-1.0000;-1.4440;0.0028;0.7554;7.3191;-10.0475;0.0639;-50.9755;56.6416;;;
-1.2500;-1.3227;0.0033;0.7552;7.1978;-12.5972;0.0501;-63.4431;56.6352;;;
-1.5000;-1.2041;0.0036;0.7550;7.0792;-15.1610;0.0362;-75.7294;56.6283;;;
-1.7500;-1.0882;0.0038;0.7548;6.9633;-17.7379;0.0222;-87.8009;56.6214;;;
-2.0000;-0.9750;0.0040;0.7547;6.8502;-20.3267;0.0080;-99.6257;56.6152;;;
-2.2500;-0.8646;0.0040;0.7545;6.7398;-22.9259;-0.0065;-111.1735;56.6103;;;
-2.5000;-0.7570;0.0039;0.7543;6.6322;-25.5332;-0.0213;-122.4158;56.6075;;;
-2.7500;-0.6522;0.0036;0.7542;6.5274;-28.1461;-0.0365;-133.3262;56.6076;;;
-3.0000;-0.5502;0.0033;0.7540;6.4254;-30.7614;-0.0520;-143.8802;56.6115;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
