steer;camber;toe (SAE);castor;kingpin;spring travel;anti-dive;scrub;mechanical trail;RCy;RCz
30;-0.278;-34.667;0.7565;7.9499;-2.3803;1.8844;-22.8992;11.5564;33.5153;59.9169
25;-0.8533;-28.0819;0.7565;7.9185;-1.7551;2.1038;-16.4714;11.5346;24.3145;58.8083
20;-1.252;-21.9559;0.7564;7.8925;-1.2355;1.9878;-11.2092;11.5179;17.2089;57.9785
15;-1.5348;-16.1621;0.7564;7.8711;-0.8082;1.6617;-7.0024;11.506;11.6258;57.373
10;-1.7349;-10.6129;0.7564;7.854;-0.4639;1.2022;-3.7706;11.4986;7.144;56.9593
5;-1.8715;-5.2429;0.7563;7.8406;-0.1962;0.6605;-1.4525;11.4955;3.3899;56.718
0;-1.9557;0;0.7563;7.8309;0;0.0736;0;11.4966;0;56.6387
-5;-1.9934;5.16;0.7563;7.8245;0.128;-0.5301;0.625;11.5016;-3.3899;56.718
-10;-1.9867;10.2771;0.7563;7.8215;0.1903;-1.1269;0.4522;11.5105;-7.144;56.9593
-15;-1.9344;15.3902;0.7563;7.8216;0.188;-1.6953;-0.4965;11.5231;-11.6258;57.373
-20;-1.8316;20.5396;0.7563;7.8249;0.1213;-2.2139;-2.2069;11.5393;-17.2089;57.9785
-25;-1.6687;25.7698;0.7563;7.8314;-0.0105;-2.6587;-4.6735;11.559;-24.3145;58.8083
-30;-1.4287;31.1343;0.7563;7.8413;-0.21;-2.9999;-7.9017;11.5822;-33.5153;59.9169
